,Year,Capacity,Enrollment,Enroll/Capacity,White,African-American,Asian,Hispanic,Other,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,CTBS-Reading (G6),CTBS Lang (G6),CTBS Math (G6)
Year,1,,,,,,,,,,,,,,,,,,,
Capacity,-0.0994936676326182,1,,,,,,,,,,,,,,,,,,
Enrollment,0.07463604028075103,-0.2790445402478377,1,,,,,,,,,,,,,,,,,
Enroll/Capacity,0.10491797497522298,-0.7473588066505565,0.846572483012214,1,,,,,,,,,,,,,,,,
White,-0.01116504116069797,-0.9918311556669472,0.21026956528492238,0.6954470687975307,1,,,,,,,,,,,,,,,
African-American,0.024679219591162236,0.9902652397987021,-0.2095048942988197,-0.6940752957690796,-0.9999086082892126,1,,,,,,,,,,,,,,
Asian,0.3449466561883366,0.5077960361692732,0.610099707460968,0.13998729339951646,-0.5963687688915436,0.6006664376488647,1,,,,,,,,,,,,,
Hispanic,-0.39378353455701404,0,-0.899461164917098,-0.6216793251577094,0.10237818965609616,-0.1073993463648414,-0.8592059354400835,1,,,,,,,,,,,,
Other,-0.5070925528371159,-0.7928249671720891,0.04296683259377647,0.47027451658905334,0.8613886177594048,-0.8680031819615222,-0.7565978957233824,0.37718220696260923,1,,,,,,,,,,,
FreeLunch,-0.8439431201704615,0.6029292421776752,-0.3257095233429065,-0.5580852604269465,-0.5030094897583794,0.49152813897134845,-0.10287246418533937,0.4270320597629662,0.005645874290988883,1,,,,,,,,,,
Limited English,-0.2795094857215248,0.8917611606544438,0.1352490419270173,-0.4003146243847956,-0.8895043053371301,0.885403614423315,0.6899058041666316,-0.3005354595277273,-0.6584244824123962,0.637299243434359,1,,,,,,,,,
SpecialEd,-0.4224559763056256,-0.5521236524382878,-0.5225538136023178,-0.05468150014227483,0.6441552619454955,-0.6495149564846106,-0.9922317093189135,0.816092159611942,0.8272888841943364,0.13066681254655205,-0.679866436145927,1,,,,,,,,
SchoolBuses,0.09701425001453316,0.7239227659930266,0.4473005398396772,-0.09203101498762647,-0.7794941823542151,0.7804288433440472,0.946175716901067,-0.6812799545373195,-0.7789240586062424,0.2187280744564397,0.887052549174004,-0.937139856069687,1,,,,,,,
Entrants,-0.2679572819916928,0.5295261104691814,0.6287591651073048,0.14201232695857263,-0.5537369398766708,0.5497427243788843,0.8098327329576996,-0.6676583227675071,-0.4211458792603677,0.3867934562939128,0.8498905201116104,-0.747886348248061,0.8950265209412344,1,,,,,,
Withdrawls,-0.13490797046595313,0.8476560371217173,-0.7454462545975038,-0.985573760557962,-0.8013710209775126,0.799529124112647,0.006595245649856312,0.5051047290880594,-0.5592313647293912,0.617386240562608,0.5491928325908583,-0.0835142422175295,0.2518919783425617,0.026676794395834362,1,,,,,
Computers,-0.8148672127965939,-0.2253887071013436,-0.4477248446415384,-0.18331459176221457,0.3478222591330071,-0.35861001083724153,-0.8242063023975218,0.7839713365758866,0.7512965366550648,0.5886867370631839,-0.24092447549878454,0.8629991031181334,-0.6344511122678328,-0.3400829899401944,0.1110425069471075,1,,,,
Computers/Student,-0.7118715736451654,-0.17781324083268385,-0.6144431975923893,-0.3252566017641638,0.2992474356315377,-0.3086036997341218,-0.8833600252482469,0.892929953571608,0.6757623339841146,0.5528142077723465,-0.2870097222422014,0.8975058753540557,-0.6921431794790366,-0.4738993748764464,0.2331635237961326,0.9793454712764221,1,,,
CTBS-Reading (G6),0.23434003976548293,-0.9252123027556147,0.6020181889479317,0.929134497979188,0.8794065526092384,-0.8761496739241798,-0.14434788058597348,-0.3793702464935637,0.5941604449831421,-0.7146030820865729,-0.7084248411219004,0.20255760017995333,-0.4104808356679371,-0.23256711154586668,-0.9771451390535314,-0.08438712786315622,-0.171021435459083,1,,
CTBS Lang (G6),0.6074052818922373,-0.701454223262035,0.6669918170657195,0.8493270090566971,0.6063743860280688,-0.5981701594278681,0.213798388714144,-0.6406773182467624,0.16500572946507627,-0.9069314151783907,-0.5386116041102125,-0.18887515915667005,-0.10522672835293126,-0.10707807131792209,-0.8675174168267463,-0.5247845051772143,-0.576492646277988,0.8896211119524454,1,
CTBS Math (G6),0.34197237812222203,-0.8540739987340189,0.6835321103051736,0.9458955203769975,0.7897307161639538,-0.7850693474476275,0.01404312242167065,-0.5168497712996954,0.4541733591522672,-0.7750894478355219,-0.6260931557097388,0.03976652862252679,-0.27251873469711274,-0.1377954721170917,-0.9755260889444959,-0.2465435598126031,-0.33384602102068844,0.9858223973506376,0.9484982995701781,1
