,Year,Capacity,Enrollment,Enroll/Capacity,White,African-American,Asian,Hispanic,Other,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,CTBS-Reading (G4),CTBS Lang (G4),CTBS Math (G4),Title I
Year,1,,,,,,,,,,,,,,,,,,,,
Capacity,0.6006463743943379,1,,,,,,,,,,,,,,,,,,,
Enrollment,0.5235264519557313,0.9532272959998453,1,,,,,,,,,,,,,,,,,,
Enroll/Capacity,-0.0017604422332905397,0.4001412735116716,0.6523108333975994,1,,,,,,,,,,,,,,,,,
White,0.07719725778997752,0.28765131380401027,0.39571485561931297,0.48294666236918016,1,,,,,,,,,,,,,,,,
African-American,-0.24918942338038474,-0.44569849980898163,-0.5453695631057455,-0.5168736360471174,-0.948397751590397,1,,,,,,,,,,,,,,,
Asian,0.6208392823850065,0.7995720594045765,0.8087316141841422,0.39535019415521444,0.41401143529805884,-0.6366409002538956,1,,,,,,,,,,,,,,
Hispanic,-0.0218730987925231,-0.2887652150361568,-0.34620805124592513,-0.3631618373473255,-0.774310414969389,0.6122204138586758,-0.2611308054666651,1,,,,,,,,,,,,,
Other,0.07262212915975978,0.08887102358920095,0.05450824496705844,-0.03177252675435007,-0.2672964394763034,0.27653446348560456,-0.09442506732724958,-0.0076963437717618415,1,,,,,,,,,,,,
FreeLunch,-0.18888564956546774,-0.40290771753720983,-0.47518362247323576,-0.43179420276454666,-0.9522747961037287,0.9118552853419797,-0.506861668930404,0.8245610966224144,0.18520979233769636,1,,,,,,,,,,,
Limited English,-0.1267724020426254,-0.2628353187574527,-0.20711256090439922,-0.008785002224012375,-0.7269787163373685,0.5736194588663643,-0.15525877922672696,0.8402511230816228,0.13512635511255425,0.7668063455197525,1,,,,,,,,,,
SpecialEd,-0.06594111861756302,-0.3504547476214098,-0.39163543404186163,-0.36858101836504736,-0.2721720462789999,0.15756912369751433,-0.12824637485986282,0.5956410347229847,-0.06127566135449691,0.36325360827156356,0.43530444695623166,1,,,,,,,,,
SchoolBuses,-0.04720130635106688,0.6708949334319788,0.7368463473658899,0.5969256991438714,0.2707112450260628,-0.34638078338856126,0.4913012484547672,-0.23383105671421658,-0.22951674019753637,-0.29049264664579866,-0.039616727116891105,-0.3143182679820582,1,,,,,,,,
Entrants,-0.3070207224561623,-0.3024707277938462,-0.34226286955831636,-0.25882910239962603,-0.8484113589709624,0.8084503301040146,-0.4029290771362616,0.7108847668014638,0.1037026652623569,0.9196326227064995,0.7838275730908275,0.2297420673869595,-0.0200588522568461,1,,,,,,,
Withdrawls,-0.25662366491548677,-0.6286420241157538,-0.7023238872930101,-0.5646996372962468,-0.7595903970850255,0.7372686921847457,-0.5625544850097366,0.7624566224871451,0.22128074482399362,0.84115172574556,0.6525930603893972,0.6817108769611948,-0.5689341908474173,0.7017968464283942,1,,,,,,
Computers,0.4345479604536602,0.8344193303162734,0.7876905249650613,0.3240665689134516,0.18003763545624157,-0.3684780792948664,0.8076882590825616,-0.14267027188590084,-0.0928476763777444,-0.21469004588340004,-0.051130149357312575,-0.18006822227826275,0.6728603284536216,-0.002888977860920496,-0.4013896815440422,1,,,,,
Computers/Student,-0.24247774485870263,-0.6422081954692658,-0.7443743181719247,-0.6886723224271303,-0.46252011168765067,0.45079330032364123,-0.34867651231281976,0.5056978120526705,-0.20658595253514192,0.5565683222286913,0.3919165862208193,0.6014023497775047,-0.5043746310477077,0.5373554112531554,0.7529111820928895,-0.22363224774485216,1,,,,
CTBS-Reading (G4),0.4089202998902238,0.21352951196162043,0.2742104847831228,0.274340787210793,0.7850890346293383,-0.8260956458284656,0.5058530903349175,-0.49108805344669365,-0.2734211368222253,-0.7690256356333569,-0.487377259803078,-0.12206625434495331,-0.05233587512119386,-0.7317959641453254,-0.5169257698828302,0.23300570048445032,-0.17828718203246605,1,,,
CTBS Lang (G4),0.4193441490923591,0.3167979352824529,0.392957672486371,0.37568311094935897,0.7891877966691475,-0.8687674016769659,0.5924544905036094,-0.4369751807424297,-0.28055228579063946,-0.7265602619455406,-0.45885057090902154,0.037133838542082215,0.04879404124979244,-0.7000363600742648,-0.4842740927263159,0.3552021146037013,-0.20592284126048785,0.9209153618382924,1,,
CTBS Math (G4),0.402141466735299,0.3216067487693974,0.3702478602610588,0.29901630903383397,0.7991381658839064,-0.853589271424605,0.5675172322800942,-0.49937975929099565,-0.3161275905493393,-0.7404830443438466,-0.5101823794939414,-0.19107623409267838,0.06680277312453084,-0.6545573741960117,-0.5711141580958469,0.38608731232007293,-0.18759193965116883,0.9433564436484652,0.8994193668074515,1,
Title I,0.013641428567704453,-0.19410431935010483,-0.21972280407947986,-0.20031046020619295,-0.7832055295080064,0.6752726836895122,-0.25924450787631165,0.8188509302889011,-0.08555118618789752,0.8576020716590745,0.7858758205320363,0.31287833316249397,-0.06891254197717431,0.835982492443079,0.6627204838848927,0.013467635170092522,0.4323226981731374,-0.5470152679297634,-0.5257468007984792,-0.4678762361114075,1
