School,,Year,Capacity,Enrollment,E/C,White,Black,Asian,Hispanic,Other,Whites,Blacks,Asians,Hispanics,Total,DISS(w/b),DISS(w/a),DISS(b/a),DISS(w/h),DISS(b/h),DISS(a/h),Total/white,Total/black,Total/asian,Total/hispanic,,,School,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,CTBS-Reading (G6),CTBS Lang (G6),CTBS Math (G6),Title I,,Enroll/Capacity,AfricanAmerican
Oakland Mills MS,MS,1972,506,482,0.9525691699604744,54.5,35.3,4.8,5,0.400000000000003,262.69,170.146,23.136,24.1,480.07200000000006,0.032268794676948015,0.08454277125751516,0.05227397658056715,0.0729924256129667,0.10526122028991472,0.15753519687048187,0.015572130830745129,0.016696663846202886,0.06897064042677004,0.08856455644371183,,,Oakland Mills MS,23.1,1.4,17.1,5,7.1,8.6,102,0.21161825726141079,60,61,55,0,,0.9525691699604744,35.3
Wilde Lake MS,MS,1969,596,522,0.8758389261744967,47.9,40.8,7.1,4,0.20000000000000462,250.03799999999998,212.976,37.062,20.88,520.956,0.032181017118994765,0.02188864393581133,0.010292373183183434,0.042561882097281484,0.010380864978286719,0.020673238161470153,0.01536635032031694,0.016814666798677824,0.00652229361549439,0.027195531776964543,,,Wilde Lake MS,27.3,3.7,12.8,10,12.7,11,93,0.1781609195402299,54,55,48,0,,0.8758389261744967,40.8
Harper's Choice MS,MS,1973,506,607,1.199604743083004,53.8,35.9,7.6,2.4,0.3000000000000047,326.566,217.91299999999998,46.132,14.568,605.1789999999999,0.032233625444121394,0.013115968481011653,0.04534959392513305,0.11043736794731426,0.07820374250319287,0.12355333642832592,0.01540992850620082,0.016823696937920574,0.028525896987212473,0.09502743944111344,,,Harper's Choice MS,21.6,2.3,12,9,11.8,5.1,65,0.1070840197693575,64,68,62,0,,1.199604743083004,35.9
Owen Brown MS,MS,1976,584,514,0.8801369863013698,47.9,40.9,7.9,3.3,0,246.206,210.226,40.606,16.962,514,0.03232140300207445,0.0495381588406921,0.017216755838617648,0.005116939762934203,0.03743834276500865,0.0546550986036263,0.015615709016628898,0.016705693985445552,0.0339224498240632,0.0207326487795631,,,Owen Brown MS,22.1,2.9,10.6,10,10.4,10.6,48,0.0933852140077821,56,62,52,0,,0.8801369863013698,40.9
,,Total,2192,2125,,51.2,38.3,6.9,3.6,0,1085.4999999999998,811.261,146.93599999999998,76.51,2120.207,0.06450242012106931,0.08454277125751512,0.06256634976375064,0.11555430771024833,0.11564208526820148,0.1782084350319521,0.030982059336945894,0.03352036078412342,0.06897064042677005,0.11576008822067646,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5119783115516551,0.3826329221627888,0.06930266714523628,0.036086099140319794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School,,Year,Capacity,Enrollment,E/C,White,Black,Asian,Hispanic,Other,Whites,Blacks,Asians,Hispanics,Total,DISS(w/b),DISS(w/a),DISS(b/a),DISS(w/h),DISS(b/h),DISS(a/h),Total/white,Total/black,Total/asian,Total/hispanic,,,School,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,CTBS-Reading (G4),CTBS Lang (G4),CTBS Math (G4),Title I,,Enroll/Capacity,AfricanAmerican
Atholton ES,ES,1961,365,496,1.358904109589041,74.4,15.4,9,0.8,0.3999999999999939,369.02400000000006,76.384,44.64,3.968,494.0160000000001,0.06120907377175394,0.03168440684095067,0.029524666930803273,0.08330808691170344,0.0220990131399495,0.05162368007075277,0.025594699023274756,0.035614374748479186,0.006089707817675913,0.05771338788842868,,,Atholton ES,7.2,3.9,8.4,7,7,8.4,77,0.15524193548387097,75,84,73,0,,1.358904109589041,15.4
Bryant Woods ES,ES,1968,311,300,0.9646302250803859,41.1,50.9,6,1.3,0.7,123.30000000000001,152.7,18,3.9000000000000004,297.9,0.03881356072596261,0.006086698466314735,0.044900259192277345,0.01907996836202773,0.05789352908799034,0.012993269895712993,0.010595812841084379,0.028217747884878235,0.016682511307399114,0.02967578120311211,,,Bryant Woods ES,25.2,4.7,7.7,5,12.9,12,68,0.22666666666666666,59,55,51,0.24,,0.9646302250803859,50.9
Clemens Crossing ES,ES,1979,478,609,1.2740585774058577,78.3,11.6,9.1,1.1,0,476.8469999999999,70.64399999999999,55.419,6.699000000000001,609.6089999999998,0.09216851528923173,0.04424490458551249,0.047923610703719234,0.10230404825532102,0.010135532966089295,0.05805914366980853,0.03721729848513945,0.05495121680409227,0.007027606100373035,0.06508674977018156,,,Clemens Crossing ES,2.8,2.5,7.2,10,5.3,2.4,80,0.13136288998357964,79,86,78,0,,1.2740585774058577,11.6
Dasher Green ES,ES,1976,415,411,0.9903614457831326,45.7,46.8,4.6,2.2,0.7000000000000002,187.827,192.34799999999998,18.906,9.042000000000002,408.12299999999993,0.04036251179708814,0.021692057009578502,0.06205456880666664,0.018518070873577232,0.05888058267066537,0.0031739861360012694,0.009556758608909088,0.030805753188179054,0.03124881561848759,0.02807482948248632,,,Dasher Green ES,25.9,1,10.9,2,8.3,12.3,72,0.17518248175182483,61,70,57,0.23,,0.9903614457831326,46.8
Guilford ES,ES,1954,390,451,1.1564102564102565,52.8,38.6,6.3,2.5,0,238.12800000000001,174.086,28.413,11.275,451.90200000000004,0.018657245449893327,0.021018689205405193,0.03967593465529852,0.024118399587802507,0.042775645037695834,0.0030997103823973138,0.0026720466763546016,0.015985198773538725,0.023690735881759795,0.02679044626415711,,,Guilford ES,22.1,4.6,7.7,13,13.5,5.9,80,0.17738359201773837,51,57,52,0.1,,1.1564102564102565,38.6
Jeffers Hill ES,ES,1974,421,459,1.0902612826603326,47.9,36.4,10.3,5.4,0,219.861,167.076,47.277,24.786,459,0.020182467053556204,0.011291468905952666,0.008890998147603538,0.026626917857906725,0.006444450804350521,0.015335448951954059,0.008487058410375954,0.01169540864318025,0.002804410495576712,0.01813985944753077,,,Jeffers Hill ES,16,5.2,7.8,6,8,7,81,0.17647058823529413,74,76,64,0,,1.0902612826603326,36.4
Longfellow ES,ES,1970,396,352,0.8888888888888888,54.2,34.9,6.3,4.2,0.3999999999999986,190.78400000000002,122.84799999999998,22.176000000000002,14.784,350.592,0.007199837479526634,0.017697565210473575,0.02489740269000021,0.00023585173079103405,0.0069639857487356,0.01793341694126461,0.0004883337229167201,0.006711503756609914,0.018185898933390295,0.000252481992125686,,,Longfellow ES,19.6,2.1,10.6,3,11.1,11.4,80,0.22727272727272727,68,73,66,0,,0.8888888888888888,34.9
Phelp's Luck ES,ES,1972,496,558,1.125,33.8,49.2,6.8,10,0.1999999999999993,188.60399999999998,274.536,37.944,55.800000000000004,556.884,0.07845827137638617,0.005876221711530634,0.07258204966485554,0.14031080548582098,0.06185253410943481,0.13443458377429035,0.030795894673766297,0.04766237670261987,0.024919672962235663,0.10951491081205468,,,Phelp's Luck ES,33.5,8.1,8.3,11,15.2,10.5,83,0.14874551971326164,55,53,52,1,,1.125,49.2
Pointer Run ES,ES,1991,750,893,1.1906666666666668,69.3,6.6,23,0.8,0.3000000000000014,618.8489999999999,58.938,205.39000000000001,7.144,890.3209999999999,0.1348740966282927,0.13727802959112337,0.2721521262194161,0.13804110855874854,0.003167011930455852,0.2753191381498719,0.03400501850112178,0.10086907812717091,0.17128304809224515,0.10403609005762676,,,Pointer Run ES,0,2.5,8.5,13,4.5,1.3,128,0.1433370660694289,78,89,82,0,,1.1906666666666668,6.6
Running Brook ES,ES,1970,261,252,0.9655172413793104,28.2,48.2,7.2,16.4,0,71.064,121.46400000000001,18.144000000000002,41.327999999999996,252.00000000000003,0.03796037024514204,0.007826141746190528,0.030134228498951515,0.12192243622648856,0.08396206598134652,0.11409629448029804,0.01768239367076725,0.020277976574374794,0.00985625192457672,0.10424004255572131,,,Running Brook ES,47.5,12.1,20.5,3,17.8,21.7,72,0.2857142857142857,59,69,53,1,,0.9655172413793104,48.2
Steven's Forest ES,ES,1972,333,291,0.8738738738738738,58.2,29.1,6.6,5.7,0.3999999999999959,169.36200000000002,84.68100000000001,19.206,16.587,289.836,0.004966460976154767,0.016410605429543066,0.011444144453388299,0.0119877050749208,0.016954166051075567,0.028398310504463866,0.0026497482318232,0.002316712744331567,0.013760857197719866,0.014637453306744,,,Steven's Forest ES,14.4,1.8,9.5,0,4.4,9.7,56,0.19243986254295534,70,70,69,0,,0.8738738738738738,29.1
Swansfield ES,ES,1972,484,551,1.1384297520661157,38.4,44.1,8.5,6.8,2.2,211.584,242.991,46.835,37.468,538.878,0.05773009539869712,0.01281795060705438,0.04491214479164274,0.07193203057779385,0.014201935179096722,0.05911407997073946,0.02217222850834246,0.03555786689035466,0.00935427790128808,0.04975980206945138,,,Swansfield ES,29.2,8.2,10.1,6,12.8,12.5,81,0.147005444646098,58,62,52,0.146,,1.1384297520661157,44.1
Talbott Springs ES,ES,1973,421,428,1.0166270783847982,29.3,53.1,7.9,9.3,0.40000000000000036,125.404,227.268,33.812,39.80400000000001,426.28800000000007,0.07301029790883165,0.016427476729913695,0.05658282117891795,0.1024843196743408,0.029474021765509145,0.08605684294442709,0.028550204676415787,0.04446009323241586,0.012122727946502092,0.073934114997925,,,Talbott Springs ES,46.2,7.8,6.8,6,20.7,14.1,102,0.2383177570093458,62,65,66,1,,1.0166270783847982,53.1
Thunder Hill ES,ES,1970,346,371,1.0722543352601157,73.1,16.6,9.3,0.8,0.2000000000000035,271.201,61.586000000000006,34.50300000000001,2.968,370.25800000000004,0.04244357859991479,0.020810621291352575,0.021632957308562212,0.06104791478131683,0.018604336181402045,0.04023729348996426,0.017772276870666757,0.02467130172924803,0.003038344420685818,0.043275637910650075,,,Thunder Hill ES,4,3.5,11,4,6.5,8.5,82,0.2210242587601078,86,86,87,0,,1.0722543352601157,16.6
Waterloo ES,ES,1964,522,543,1.0402298850574712,64.5,21.8,10.1,3.4,0.19999999999999973,350.235,118.374,54.842999999999996,18.462,541.914,0.036712932169735986,0.011871741252634668,0.024841190917101318,0.029082469297565514,0.007630462872170472,0.017210728044930845,0.013761690676906538,0.022951241492829448,0.0018899494242718695,0.015320778620658976,,,Waterloo ES,10.8,2.3,11.8,14,9,8.9,103,0.18968692449355432,68,75,66,0,,1.0402298850574712,21.8
,,Total,6389,6965,,54.9,30.9,9.8,4.2,0.20000000000000195,3812.074,2145.924,685.5080000000002,294.01500000000004,6937.521,0.37237465743508386,0.19151728929176537,0.3960745520796022,0.4755000666280628,0.2205196367629838,0.45854296370343867,0.1310007317889325,0.2413739256461514,0.17597740801209388,0.37022618318942724,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5494864808337157,0.30932144205401324,0.09881166485838387,0.04238041225388724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note: all school include some Non-Columbia Residents (particularly High Schools),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
