,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             
School,Type,Year,Capacity,Enrollment,E/C,White,Black,Asian,Hispanic,Other,Whites,Blacks,Asians,Hispanics,Total,DISS(w/b),DISS(w/a),DISS(b/a),DISS(w/h),DISS(b/h),DISS(a/h),Total/white,Total/black,Total/asian,Total/hispanic,,,School,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,SAT,,,,,Enroll/Capacity,AfricanAmerican
Wilde Lake HS,HS,1996,1332,1466,1.1006006006006006,56.4,33,7.8,2.5,0.3000000000000016,826.824,483.78000000000003,114.348,36.65,1461.602,0.11572821447811607,0.0023520992706109467,0.11808031374872702,0.027336951016505517,0.08839126346161055,0.029689050287116464,0.027796431251475795,0.08793178322664028,0.03014853052208674,0.00045948023497027757,,,Wilde Lake HS,13,2.5,8.8,20,7.9,7.3,309,0.21077762619372442,1092,,,,,1.1006006006006006,33
Oakland Mills HS,HS,1973,1057,968,0.9157994323557237,55.6,34.7,6.1,3.5,0.09999999999999609,538.2080000000001,335.896,59.048,33.88,967.032,0.08863644771893757,0.026908751366936823,0.11554519908587439,0.07749841144178866,0.011138036277148905,0.10440716280872549,0.020432375289873947,0.06820407242906362,0.04734112665681077,0.05706603615191472,,,Oakland Mills HS,15.4,1.1,12.2,8,6.3,10.1,144,0.1487603305785124,1064,,,,,0.9157994323557237,34.7
Long Reach HS,HS,1996,1332,1422,1.0675675675675675,56.7,27.7,11.3,4.3,0,806.2740000000001,393.89399999999995,160.686,61.145999999999994,1422,0.06349031166327632,0.0788291152013072,0.015338803538030882,0.17799448292762016,0.11450417126434384,0.09916536772631296,0.026615366278435443,0.036874945384840874,0.052213748922871756,0.15137911664918471,,,Long Reach HS,12.7,4.5,10.2,26,5.8,6.7,216,0.1518987341772152,1010,,,,,1.0675675675675675,27.7
Hammond HS,HS,1976,1332,1261,0.9466966966966966,72.3,20,6,1.5,0.20000000000000284,911.703,252.20000000000002,75.66,18.915,1258.478,0.05068899794940143,0.08577252791328564,0.03508352996388421,0.09790642402538823,0.04721742607598679,0.012133896112102582,0.022210620928863806,0.028478377020537626,0.06356190698442184,0.07569580309652442,,,Hammond HS,1.1,0,5.9,20,1.6,4,242,0.19191118160190326,1041,,,, ,0.9466966966966966,20
River Hill HS,HS,1994,1332,1572,1.1801801801801801,79.3,7.1,12.5,1.1,0,1246.5959999999998,111.612,196.5,17.292,1571.9999999999998,0.21716597591092843,0.03620426334952642,0.2533702392604549,0.18492342136052586,0.03224255455040256,0.22112768471005229,0.05263355189092139,0.16453242402000703,0.08883781524044781,0.13228986946960447,,,River Hill HS,1.6,0.9,5.6,32,1.6,3.1,263,0.1673027989821883,1103,,,,,1.1801801801801801,7.1
,,Total,6385,6689,,64.8,23.6,9.1,2.5,1.7763568394002505e-15,4329.6050000000005,1577.382,606.242,167.88299999999998,6681.112000000001,0.2678549738603299,0.11503337855083351,0.26870904279848573,0.2828298453859142,0.14674672581474635,0.2332615808221549,0.0748441728197852,0.19301080104054472,0.14105156416331946,0.2084451528010993,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.6480365843290757,0.23609572777705265,0.09073968525000028,0.025128002643871255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
