Dissimilarity Index,High School,Middle School,Elementary School
White/black,0.2678549738603299,0.06450242012106931,0.37237465743508386
White/asian,0.11503337855083351,0.08454277125751512,0.19151728929176537
Black/asian,0.26870904279848573,0.06256634976375064,0.3960745520796022
White/hispanic,0.2828298453859142,0.11555430771024833,0.4755000666280628
Black/hispanic,0.14674672581474635,0.11564208526820148,0.2205196367629838
Asian/hispanic,0.2332615808221549,0.1782084350319521,0.45854296370343867
Total/white,0.0748441728197852,0.030982059336945894,0.1310007317889325
Total/black,0.19301080104054472,0.03352036078412342,0.2413739256461514
Total/asian,0.14105156416331946,0.06897064042677005,0.17597740801209388
Total/hispanic,0.2084451528010993,0.11576008822067646,0.37022618318942724
