RENTAL PROPERTIES,,,,,,,,,
,,,,,,,,,
"APARTMENTS, TOWNHOUSES, SINGLE FAMILY HOMES",,,,,,,,,
,,,,,,,,Average Low End,Average High End
DORSEY'S SEARCH,,,736.6666666666666,1061.6666666666667,,,DORSEY'S SEARCH,736.6666666666666,1061.6666666666667
Avalon @ Fairway Hills ,735,1235,,,,,HARPERS CHOICE,664.125,853.625
Bluffs @ Fairway Hills,685,835,,,,,HICKORY RIDGE,902.3076923076923,1156.5384615384614
Island Club,790,1115,,,,,KINGS CONTRIVANCE,733.6666666666666,980.3333333333334
, , ,,,,,LONG REACH,754.5,996.3333333333334
HARPERS CHOICE, , ,664.125,853.625,,,OAKLAND MILLS,625.2,869
Cedar Valley,730,850,,,,,OWEN BROWN,732.5,1037.5
Fenland Field,670,930,,,,,RIVER HILL,N/A,N/A
Harper's Forest,609,849,,,,,TOWN CENTER,845,1390
Hobbit's Grove,860,1190,,,,,WILDE LAKE,667.25,864.75
Hobbit's Grove Townhouses,1100,1145,,,,,Total,755.9791666666666,1003.7083333333334
Harper House (Assisted Housing) ,410,571,,,,,,,
Fall River Terrace (Assisted Housing Columbia Housing Corporation) ,467,647,,,,,,,
Waverly Winds (Assisted Housing - CHC),467,647,,,,,,,
Tilbury Woods,,,,,,,,,
,,,,,,,,,
HICKORY RIDGE,,,902.3076923076923,1156.5384615384614,,,,,
Avalon @ Symphony Glen,755,1240,,,,,,,
Bluffs @ Clary's Forest,660,770,,,,,,,
Bluffs @ Hawthorn,675,805,,,,,,,
Clary's Crossing,740,1280,,,,,,,
Club Merion,715,870,,,,,,,
The Greens,760,1030,,,,,,,
Poplar Glen,725,910,,,,,,,
Reflections,835,930,,,,,,,
Southgate Crossing,730,1105,,,,,,,
College Square Townhouses,1270,1350,,,,,,,
Reflections Townhouses,1120,1285,,,,,,,
Clemens Corner - Single Family,1390,1725,,,,,,,
Clemens Square - Single Family,1355,1735,,,,,,,
Hickory Ridge Place,,,,,,,,,
,,,,,,,,,
KINGS CONTRIVANCE,,,733.6666666666666,980.3333333333334,,,,,
Beech's Farm,745,925,,,,,,,
Columbia Commons,775,1135,,,,,,,
Dominion at Eden Brook,697,909,,,,,,,
Dominion Kings Place,701,953,,,,,,,
Huntington Downs,720,890,,,,,,,
Kings Crossing,764,1070,,,,,,,
,,,,,,,,,
LONG REACH,,,754.5,996.3333333333334,,,,,
Archstone Camden,790,1180,,,,,,,
Bentana,660,805,,,,,,,
Lazy Hollow,725,990,,,,,,,
Summit Meadow,880,1345,,,,,,,
High Meadow Townhouses,1090,1115,,,,,,,
Chase Kendall,,,,,,,,,
Longwood Apartments,,,,,,,,,
Orchard Crossing Apartments,,,,,,,,,
Sierra Woods Apartments (Assisted Housing) ,382,543,,,,,,,
,,,,,,,,,
OAKLAND MILLS,,,625.2,869,,,,,
Autumn Crest,636,923,,,,,,,
Dorsey's Forge,665,935,,,,,,,
Oakland Meadows,595,805,,,,,,,
Tor ,645,935,,,,,,,
Stevens Forest (Assisted Housing) ,585,747,,,,,,,
,,,,,,,,,
OWEN BROWN,,,732.5,1037.5,,,,,
Chimneys of Cradlerock,685,940,,,,,,,
The Reserve,780,1135,,,,,,,
Owen Brown Place Apartments,,,,,,,,,
Park View at Columbia,,,,,,,,,
Guilford Garden Cooperative Apartments,,,,,,,,,
Stonehaven Apartments,,,,,,,,,
,,,,,,,,,
TOWN CENTER,,,845,1390,,,,,
The Gramercy,845,1390,,,,,,,
,,,,,,,,,
WILDE LAKE,,,667.25,864.75,,,,,
Hannibal Grove,665,935,,,,,,,
Hannibal Grove Townhouses,1070,1230,,,,,,,
Roslyn Rise (Assisted Housing Columbia Housing Corporation) ,467,647,,,,,,,
Rideout Heath ( Assisted Housing Columbia Housing Corporation) ,467,647,,,,,,,
,,,,,,,,,
,755.9791666666666,1003.7083333333334,,,,,,,
,221.18621110338125,262.29632084548575,,,,,,,
,,,,,,,,,
,,,,,,,,,
"source: columbiaassociation.com, apartments.net, various",,,,,,,,,
 ,,,,,,,,,
